date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:49:47	178532/178532	---M--	200	added ('OK')	image/jpeg	etag:%2267801ed-2b964-563eb75f8a5d4%22	https://www.conscientia.co.in/images/Img/alvin.jpg	D:/Source%20Codes/HTML/https___www.conscientia.co.in_/www.conscientia.co.in/images/Img/alvin.jpg	(from https://www.conscientia.co.in/Contact/)
18:49:47	297086/297086	---M--	200	added ('OK')	image/jpeg	etag:%2267801fa-4887e-563eb770a9ebb%22	https://www.conscientia.co.in/images/Img/Sanjutha.jpg	D:/Source%20Codes/HTML/https___www.conscientia.co.in_/www.conscientia.co.in/images/Img/Sanjutha.jpg	(from https://www.conscientia.co.in/Contact/)
18:49:48	166887/166887	---M--	200	added ('OK')	image/jpeg	etag:%2267801f8-28be7-563eb76df21e3%22	https://www.conscientia.co.in/images/Img/Pratik.jpg	D:/Source%20Codes/HTML/https___www.conscientia.co.in_/www.conscientia.co.in/images/Img/Pratik.jpg	(from https://www.conscientia.co.in/Contact/)
18:49:48	212344/212344	---M--	200	added ('OK')	image/jpeg	etag:%2267801f9-33d78-563eb76f2f037%22	https://www.conscientia.co.in/images/Img/Ramanan.jpg	D:/Source%20Codes/HTML/https___www.conscientia.co.in_/www.conscientia.co.in/images/Img/Ramanan.jpg	(from https://www.conscientia.co.in/Contact/)
18:49:48	146159/146159	---M--	200	added ('OK')	application/pdf	etag:%2267804e5-23aef-563eb92c1018e%22	https://www.conscientia.co.in/T&C.pdf	D:/Source%20Codes/HTML/https___www.conscientia.co.in_/www.conscientia.co.in/T&C.pdf	(from https://www.conscientia.co.in/signup.html)
18:49:48	4114/4114	---M--	200	added ('OK')	text/css	etag:%22678012e-1012-563ed30f24dd2%22	https://www.conscientia.co.in/css/hospi.css	D:/Source%20Codes/HTML/https___www.conscientia.co.in_/www.conscientia.co.in/css/hospi.css	(from https://www.conscientia.co.in/Hospitality/)
18:49:48	1699/1699	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2008%20Feb%202018%2013:19:49%20GMT	https://www.conscientia.co.in/Hospitality/GET	D:/Source%20Codes/HTML/https___www.conscientia.co.in_/www.conscientia.co.in/Hospitality/GET	(from https://www.conscientia.co.in/Hospitality/)
18:49:48	0/0	---M--	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202018%2013:19:49%20GMT	https://www.conscientia.co.in/test.php?	D:/Source%20Codes/HTML/https___www.conscientia.co.in_/www.conscientia.co.in/testd41d.php	(from https://www.conscientia.co.in/Hospitality/)
18:49:49	23739/23739	---MCZ	200	added ('OK')	text/css	date:Wed,%2022%20Jun%202016%2014:42:01%20GMT	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.3.0/css/font-awesome.min.css	D:/Source%20Codes/HTML/https___www.conscientia.co.in_/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.3.0/css/font-awesome.min.css	(from https://www.conscientia.co.in/Events/Aparimit.php)
18:49:50	167544/167544	---M--	200	added ('OK')	image/jpeg	etag:%226780135-28e78-563eb63530ba3%22	https://www.conscientia.co.in/Events/img/aparimit.jpg	D:/Source%20Codes/HTML/https___www.conscientia.co.in_/www.conscientia.co.in/Events/img/aparimit.jpg	(from https://www.conscientia.co.in/Events/Aparimit.php)
